scenario,trial,milliseconds
failover-5,17,157.586
failover-5,18,157.649
failover-5,19,157.676
failover-5,20,157.766
failover-5,21,158.442
failover-5,22,159.815
failover-5,23,166.623
failover-5,24,166.725
failover-5,25,166.775
failover-5,26,166.879
failover-5,27,167.144
failover-5,28,167.271
failover-5,29,167.281
failover-5,30,167.435
failover-5,31,167.506
failover-5,32,167.613
failover-5,33,167.635
failover-5,34,168.121
failover-5,35,168.564
failover-5,36,168.749
failover-5,37,169.773
failover-5,38,170.117
failover-5,39,170.199
failover-5,40,170.338
failover-5,41,176.572
failover-5,42,176.845
failover-5,43,176.934
failover-5,44,176.935
failover-5,45,176.989
failover-5,46,177.127
failover-5,47,177.135
failover-5,48,177.173
failover-5,49,177.318
failover-5,50,177.348
failover-5,51,177.467
failover-5,52,177.498
failover-5,53,177.501
failover-5,54,178.055
failover-5,55,178.387
failover-5,56,180.554
failover-5,57,186.731
failover-5,58,187.088
failover-5,59,187.201
failover-5,60,187.242
failover-5,61,187.273
failover-5,62,187.293
failover-5,63,187.469
failover-5,64,187.492
failover-5,65,187.521
failover-5,66,187.586
failover-5,67,187.664
failover-5,68,187.743
failover-5,69,188.788
failover-5,70,196.612
failover-5,71,197.192
failover-5,72,197.381
failover-5,73,197.463
failover-5,74,197.518
failover-5,75,197.629
failover-5,76,197.761
failover-5,77,197.963
failover-5,78,198.361
failover-5,79,199.692
failover-5,80,206.557
failover-5,81,206.608
failover-5,82,208.303
failover-5,83,216.701
failover-5,84,216.763
failover-5,85,217.044
failover-5,86,217.292
failover-5,87,217.379
failover-5,88,217.998
failover-5,89,227.443
failover-5,90,227.531
failover-5,91,227.849
failover-5,92,237.249
failover-5,93,237.509
failover-5,94,247.769
failover-5,95,347.470
failover-5,96,377.530
failover-5,97,406.900
failover-5,98,426.847
failover-5,99,637.493
