link,path,trial,milliseconds
lan-5ms,lease,25,0.0013
lan-5ms,lease,26,0.0012
lan-5ms,lease,27,0.0013
lan-5ms,lease,28,0.0010
lan-5ms,lease,29,0.0023
lan-5ms,lease,30,0.0014
lan-5ms,lease,31,0.0014
lan-5ms,lease,32,0.0029
lan-5ms,lease,33,0.0060
lan-5ms,lease,34,0.0030
lan-5ms,lease,35,0.0025
lan-5ms,lease,36,0.0028
lan-5ms,lease,37,0.0023
lan-5ms,lease,38,0.0027
lan-5ms,lease,39,0.0050
lan-5ms,lease,40,0.0036
lan-5ms,lease,41,0.0031
lan-5ms,lease,42,0.0030
lan-5ms,lease,43,0.0030
lan-5ms,lease,44,0.0030
lan-5ms,lease,45,0.0033
lan-5ms,lease,46,0.0030
lan-5ms,lease,47,0.0026
lan-5ms,lease,48,0.0029
lan-5ms,lease,49,0.0027
wan-25ms,barrier,0,25.8011
wan-25ms,barrier,1,26.0633
wan-25ms,barrier,2,25.9932
wan-25ms,barrier,3,25.8797
wan-25ms,barrier,4,25.8758
wan-25ms,barrier,5,25.6157
wan-25ms,barrier,6,25.8360
wan-25ms,barrier,7,25.5198
wan-25ms,barrier,8,26.6141
wan-25ms,barrier,9,25.7644
wan-25ms,barrier,10,25.6850
wan-25ms,barrier,11,26.2163
wan-25ms,barrier,12,26.2485
wan-25ms,barrier,13,26.0842
wan-25ms,barrier,14,25.9115
wan-25ms,barrier,15,26.3451
wan-25ms,barrier,16,25.6527
wan-25ms,barrier,17,25.8439
wan-25ms,barrier,18,26.0152
wan-25ms,barrier,19,25.7840
wan-25ms,barrier,20,25.4808
wan-25ms,barrier,21,25.6624
wan-25ms,barrier,22,25.6912
wan-25ms,barrier,23,25.9318
wan-25ms,barrier,24,25.8126
wan-25ms,barrier,25,25.7743
wan-25ms,barrier,26,25.6585
wan-25ms,barrier,27,25.6511
wan-25ms,barrier,28,26.3597
wan-25ms,barrier,29,25.9832
wan-25ms,barrier,30,26.1248
wan-25ms,barrier,31,26.1153
wan-25ms,barrier,32,26.0827
wan-25ms,barrier,33,25.5222
wan-25ms,barrier,34,25.6805
wan-25ms,barrier,35,26.3328
wan-25ms,barrier,36,25.5752
wan-25ms,barrier,37,25.5114
wan-25ms,barrier,38,25.7361
wan-25ms,barrier,39,25.3530
wan-25ms,barrier,40,25.7222
wan-25ms,barrier,41,25.4513
wan-25ms,barrier,42,25.6023
wan-25ms,barrier,43,25.6584
wan-25ms,barrier,44,25.5102
wan-25ms,barrier,45,25.6152
wan-25ms,barrier,46,25.8105
wan-25ms,barrier,47,25.8019
wan-25ms,barrier,48,25.3833
wan-25ms,barrier,49,26.0559
wan-25ms,lease,0,0.0093
wan-25ms,lease,1,0.0057
wan-25ms,lease,2,0.0045
wan-25ms,lease,3,0.0036
wan-25ms,lease,4,0.0045
wan-25ms,lease,5,0.0068
wan-25ms,lease,6,0.0050
wan-25ms,lease,7,0.0012
wan-25ms,lease,8,0.0015
wan-25ms,lease,9,0.0059
wan-25ms,lease,10,0.0053
wan-25ms,lease,11,0.0059
wan-25ms,lease,12,0.0054
wan-25ms,lease,13,0.0070
wan-25ms,lease,14,0.0067
wan-25ms,lease,15,0.0062
wan-25ms,lease,16,0.0074
wan-25ms,lease,17,0.0062
wan-25ms,lease,18,0.0085
wan-25ms,lease,19,0.0078
wan-25ms,lease,20,0.0047
wan-25ms,lease,21,0.0051
wan-25ms,lease,22,0.0056
